func_before,lines_before
"void SoftHEVC::setDecodeArgs(ivd_video_decode_ip_t *ps_dec_ip,
         ivd_video_decode_op_t *ps_dec_op,
         OMX_BUFFERHEADERTYPE *inHeader,
         OMX_BUFFERHEADERTYPE *outHeader,
         size_t timeStampIx) {
     size_t sizeY = outputBufferWidth() * outputBufferHeight();
     size_t sizeUV;
    uint8_t *pBuf;
 
     ps_dec_ip->u4_size = sizeof(ivd_video_decode_ip_t);
     ps_dec_op->u4_size = sizeof(ivd_video_decode_op_t);

    ps_dec_ip->e_cmd = IVD_CMD_VIDEO_DECODE;

 /* When in flush and after EOS with zero byte input,
     * inHeader is set to zero. Hence check for non-null */
 if (inHeader) {
        ps_dec_ip->u4_ts = timeStampIx;
        ps_dec_ip->pv_stream_buffer = inHeader->pBuffer
 + inHeader->nOffset;
        ps_dec_ip->u4_num_Bytes = inHeader->nFilledLen;
 } else {
        ps_dec_ip->u4_ts = 0;
        ps_dec_ip->pv_stream_buffer = NULL;

         ps_dec_ip->u4_num_Bytes = 0;
     }
 
    if (outHeader) {
        pBuf = outHeader->pBuffer;
    } else {
        pBuf = mFlushOutBuffer;
    }
     sizeUV = sizeY / 4;
     ps_dec_ip->s_out_buffer.u4_min_out_buf_size[0] = sizeY;
     ps_dec_ip->s_out_buffer.u4_min_out_buf_size[1] = sizeUV;
     ps_dec_ip->s_out_buffer.u4_min_out_buf_size[2] = sizeUV;
 
     ps_dec_ip->s_out_buffer.pu1_bufs[0] = pBuf;
     ps_dec_ip->s_out_buffer.pu1_bufs[1] = pBuf + sizeY;
     ps_dec_ip->s_out_buffer.pu1_bufs[2] = pBuf + sizeY + sizeUV;
     ps_dec_ip->s_out_buffer.u4_num_bufs = 3;
    return;
 }
","    uint8_t *pBuf;
    if (outHeader) {
        pBuf = outHeader->pBuffer;
    } else {
        pBuf = mFlushOutBuffer;
    }
    return;
"
"void SoftMPEG2::setDecodeArgs(
         ivd_video_decode_ip_t *ps_dec_ip,
         ivd_video_decode_op_t *ps_dec_op,
         OMX_BUFFERHEADERTYPE *inHeader,
        OMX_BUFFERHEADERTYPE *outHeader,

         size_t timeStampIx) {
     size_t sizeY = outputBufferWidth() * outputBufferHeight();
     size_t sizeUV;
    uint8_t *pBuf;
 
     ps_dec_ip->u4_size = sizeof(ivd_video_decode_ip_t);
     ps_dec_op->u4_size = sizeof(ivd_video_decode_op_t);

    ps_dec_ip->e_cmd = IVD_CMD_VIDEO_DECODE;

 /* When in flush and after EOS with zero byte input,
     * inHeader is set to zero. Hence check for non-null */
 if (inHeader) {
        ps_dec_ip->u4_ts = timeStampIx;
        ps_dec_ip->pv_stream_buffer = inHeader->pBuffer
 + inHeader->nOffset;
        ps_dec_ip->u4_num_Bytes = inHeader->nFilledLen;
 } else {
        ps_dec_ip->u4_ts = 0;
        ps_dec_ip->pv_stream_buffer = NULL;

         ps_dec_ip->u4_num_Bytes = 0;
     }
 
    if (outHeader) {
        pBuf = outHeader->pBuffer;
    } else {
        pBuf = mFlushOutBuffer;
    }
     sizeUV = sizeY / 4;
     ps_dec_ip->s_out_buffer.u4_min_out_buf_size[0] = sizeY;
     ps_dec_ip->s_out_buffer.u4_min_out_buf_size[1] = sizeUV;
     ps_dec_ip->s_out_buffer.u4_min_out_buf_size[2] = sizeUV;
 
     ps_dec_ip->s_out_buffer.pu1_bufs[0] = pBuf;
     ps_dec_ip->s_out_buffer.pu1_bufs[1] = pBuf + sizeY;
     ps_dec_ip->s_out_buffer.pu1_bufs[2] = pBuf + sizeY + sizeUV;
     ps_dec_ip->s_out_buffer.u4_num_bufs = 3;
    return;
 }
","    uint8_t *pBuf;
    if (outHeader) {
        pBuf = outHeader->pBuffer;
    } else {
        pBuf = mFlushOutBuffer;
    }
    return;
"
"OMX_ERRORTYPE SoftAVC::internalSetParameter(OMX_INDEXTYPE index, const OMX_PTR params) {
 int32_t indexFull = index;


     switch (indexFull) {
         case OMX_IndexParamVideoBitrate:
         {
            return internalSetBitrateParams(
                    (const OMX_VIDEO_PARAM_BITRATETYPE *)params);
         }
 
         case OMX_IndexParamVideoAvc:
         {
             OMX_VIDEO_PARAM_AVCTYPE *avcType = (OMX_VIDEO_PARAM_AVCTYPE *)params;
 
             if (avcType->nPortIndex != 1) {
                 return OMX_ErrorUndefined;
             }

            mEntropyMode = 0;

 if (OMX_TRUE == avcType->bEntropyCodingCABAC)
                mEntropyMode = 1;

 if ((avcType->nAllowedPictureTypes & OMX_VIDEO_PictureTypeB) &&
                    avcType->nPFrames) {
                mBframes = avcType->nBFrames / avcType->nPFrames;
 }

            mIInterval = avcType->nPFrames + avcType->nBFrames;

 if (OMX_VIDEO_AVCLoopFilterDisable == avcType->eLoopFilterMode)
                mDisableDeblkLevel = 4;

 if (avcType->nRefFrames != 1
 || avcType->bUseHadamard != OMX_TRUE
 || avcType->nRefIdx10ActiveMinus1 != 0
 || avcType->nRefIdx11ActiveMinus1 != 0
 || avcType->bWeightedPPrediction != OMX_FALSE
 || avcType->bconstIpred != OMX_FALSE
 || avcType->bDirect8x8Inference != OMX_FALSE
 || avcType->bDirectSpatialTemporal != OMX_FALSE
 || avcType->nCabacInitIdc != 0) {
 return OMX_ErrorUndefined;
 }

 if (OK != ConvertOmxAvcLevelToAvcSpecLevel(avcType->eLevel, &mAVCEncLevel)) {
 return OMX_ErrorUndefined;
 }

 return OMX_ErrorNone;
 }

 default:
 return SoftVideoEncoderOMXComponent::internalSetParameter(index, params);
 }
}
","            return internalSetBitrateParams(
                    (const OMX_VIDEO_PARAM_BITRATETYPE *)params);
"
"OMX_ERRORTYPE SoftVPXEncoder::internalSetParameter(OMX_INDEXTYPE index,
 const OMX_PTR param) {

     const int32_t indexFull = index;
 
     switch (indexFull) {
        case OMX_IndexParamVideoBitrate:
            return internalSetBitrateParams(
                (const OMX_VIDEO_PARAM_BITRATETYPE *)param);
 
        case OMX_IndexParamVideoVp8:
            return internalSetVp8Params(
                (const OMX_VIDEO_PARAM_VP8TYPE *)param);
 
        case OMX_IndexParamVideoAndroidVp8Encoder:
            return internalSetAndroidVp8Params(
                (const OMX_VIDEO_PARAM_ANDROID_VP8ENCODERTYPE *)param);
 
         default:
             return SoftVideoEncoderOMXComponent::internalSetParameter(index, param);
 }
}
","        case OMX_IndexParamVideoBitrate:
            return internalSetBitrateParams(
                (const OMX_VIDEO_PARAM_BITRATETYPE *)param);
        case OMX_IndexParamVideoVp8:
            return internalSetVp8Params(
                (const OMX_VIDEO_PARAM_VP8TYPE *)param);
        case OMX_IndexParamVideoAndroidVp8Encoder:
            return internalSetAndroidVp8Params(
                (const OMX_VIDEO_PARAM_ANDROID_VP8ENCODERTYPE *)param);
"
"long ParseElementHeader(IMkvReader* pReader, long long& pos,
 long long stop, long long& id,
 long long& size) {
 if (stop >= 0 && pos >= stop)
 return E_FILE_FORMAT_INVALID;

 long len;

  id = ReadID(pReader, pos, len);

 if (id < 0)
 return E_FILE_FORMAT_INVALID;

  pos += len; // consume id

 if (stop >= 0 && pos >= stop)
 return E_FILE_FORMAT_INVALID;

  size = ReadUInt(pReader, pos, len);

 if (size < 0 || len < 1 || len > 8) {
 return E_FILE_FORMAT_INVALID;
 }

 const unsigned long long rollover_check =
 static_cast<unsigned long long>(pos) + len;
 if (rollover_check > LONG_LONG_MAX)
 return E_FILE_FORMAT_INVALID;

  pos += len; // consume length of size

 
 
  if (stop >= 0 && pos >= stop)
     return E_FILE_FORMAT_INVALID;
 
   return 0;  // success
}
","  if (stop >= 0 && pos >= stop)
"
" void BufferQueueConsumer::dump(String8& result, const char* prefix) const {
    mCore->dump(result, prefix);
 }
","    mCore->dump(result, prefix);
"
" static bool getCoverageFormat4(vector<uint32_t>& coverage, const uint8_t* data, size_t size) {
     const size_t kSegCountOffset = 6;
     const size_t kEndCountOffset = 14;
 const size_t kHeaderSize = 16;
 const size_t kSegmentSize = 8; // total size of array elements for one segment
 if (kEndCountOffset > size) {
 return false;
 }
 size_t segCount = readU16(data, kSegCountOffset) >> 1;
 if (kHeaderSize + segCount * kSegmentSize > size) {

         return false;
     }
     for (size_t i = 0; i < segCount; i++) {
        int end = readU16(data, kEndCountOffset + 2 * i);
        int start = readU16(data, kHeaderSize + 2 * (segCount + i));
        int rangeOffset = readU16(data, kHeaderSize + 2 * (3 * segCount + i));
         if (rangeOffset == 0) {
            int delta = readU16(data, kHeaderSize + 2 * (2 * segCount + i));
             if (((end + delta) & 0xffff) > end - start) {
                 addRange(coverage, start, end + 1);
             } else {
                for (int j = start; j < end + 1; j++) {
                     if (((j + delta) & 0xffff) != 0) {
                         addRange(coverage, j, j + 1);
                     }
                 }
             }
         } else {
            for (int j = start; j < end + 1; j++) {
                 uint32_t actualRangeOffset = kHeaderSize + 6 * segCount + rangeOffset +
                     (i + j - start) * 2;
                 if (actualRangeOffset + 2 > size) {
                     return false;
                 }
                int glyphId = readU16(data, actualRangeOffset);
                 if (glyphId != 0) {
                     addRange(coverage, j, j + 1);
                 }
 }
 }
 }
 return true;
}
","        int end = readU16(data, kEndCountOffset + 2 * i);
        int start = readU16(data, kHeaderSize + 2 * (segCount + i));
        int rangeOffset = readU16(data, kHeaderSize + 2 * (3 * segCount + i));
            int delta = readU16(data, kHeaderSize + 2 * (2 * segCount + i));
                for (int j = start; j < end + 1; j++) {
            for (int j = start; j < end + 1; j++) {
                int glyphId = readU16(data, actualRangeOffset);
"
"void Segment::AppendCluster(Cluster* pCluster)
{
    assert(pCluster);
    assert(pCluster->m_index >= 0);
 
    const long count = m_clusterCount + m_clusterPreloadCount;
 
    long& size = m_clusterSize;
    assert(size >= count);
 
    const long idx = pCluster->m_index;
    assert(idx == m_clusterCount);
 
    if (count >= size)
    {
        const long n = (size <= 0) ? 2048 : 2*size;
 
        Cluster** const qq = new Cluster*[n];
        Cluster** q = qq;
 
        Cluster** p = m_clusters;
        Cluster** const pp = p + count;
 
        while (p != pp)
            *q++ = *p++;
 
        delete[] m_clusters;
 
        m_clusters = qq;
        size = n;
    }
    if (m_clusterPreloadCount > 0)
    {
        assert(m_clusters);
        Cluster** const p = m_clusters + m_clusterCount;
        assert(*p);
        assert((*p)->m_index < 0);
        Cluster** q = p + m_clusterPreloadCount;
        assert(q < (m_clusters + size));
        for (;;)
        {
            Cluster** const qq = q - 1;
            assert((*qq)->m_index < 0);
            *q = *qq;
            q = qq;
            if (q == p)
                break;
        }
    }
    m_clusters[idx] = pCluster;
    ++m_clusterCount;
}
","{
    assert(pCluster);
    assert(pCluster->m_index >= 0);
    const long count = m_clusterCount + m_clusterPreloadCount;
    long& size = m_clusterSize;
    assert(size >= count);
    const long idx = pCluster->m_index;
    assert(idx == m_clusterCount);
    if (count >= size)
    {
        const long n = (size <= 0) ? 2048 : 2*size;
        Cluster** const qq = new Cluster*[n];
        Cluster** q = qq;
        Cluster** p = m_clusters;
        Cluster** const pp = p + count;
        while (p != pp)
            *q++ = *p++;
        delete[] m_clusters;
        m_clusters = qq;
        size = n;
    }
    if (m_clusterPreloadCount > 0)
    {
        assert(m_clusters);
        Cluster** const p = m_clusters + m_clusterCount;
        assert(*p);
        assert((*p)->m_index < 0);
        Cluster** q = p + m_clusterPreloadCount;
        assert(q < (m_clusters + size));
        for (;;)
        {
            Cluster** const qq = q - 1;
            assert((*qq)->m_index < 0);
            *q = *qq;
            q = qq;
            if (q == p)
                break;
        }
    }
    m_clusters[idx] = pCluster;
    ++m_clusterCount;
}
"
"Chapters::Atom::Atom()
{
 }
","{
"
"AudioTrack::AudioTrack(
    Segment* pSegment,
    long long element_start,
    long long element_size) :
    Track(pSegment, element_start, element_size)
{
}
","    Segment* pSegment,
    long long element_start,
    long long element_size) :
    Track(pSegment, element_start, element_size)
{
}
"
"Block::Block(long long start, long long size_, long long discard_padding) :
    m_start(start),
    m_size(size_),
    m_track(0),
    m_timecode(-1),
    m_flags(0),
    m_frames(NULL),
    m_frame_count(-1),
    m_discard_padding(discard_padding)
{
}
","    m_start(start),
    m_size(size_),
    m_track(0),
    m_timecode(-1),
    m_flags(0),
    m_frames(NULL),
    m_frame_count(-1),
    m_discard_padding(discard_padding)
{
}
"
"BlockEntry::BlockEntry(Cluster* p, long idx) :
    m_pCluster(p),
    m_index(idx)
{
 }
","    m_pCluster(p),
    m_index(idx)
{
"
"BlockGroup::BlockGroup(
    Cluster* pCluster,
    long idx,
    long long block_start,
    long long block_size,
    long long prev,
    long long next,
    long long duration,
    long long discard_padding) :
    BlockEntry(pCluster, idx),
    m_block(block_start, block_size, discard_padding),
    m_prev(prev),
    m_next(next),
    m_duration(duration)
{
}
","    Cluster* pCluster,
    long idx,
    long long block_start,
    long long block_size,
    long long prev,
    long long next,
    long long duration,
    long long discard_padding) :
    BlockEntry(pCluster, idx),
    m_block(block_start, block_size, discard_padding),
    m_prev(prev),
    m_next(next),
    m_duration(duration)
{
}
"
"Chapters::Chapters(
    Segment* pSegment,
    long long payload_start,
    long long payload_size,
    long long element_start,
    long long element_size) :
    m_pSegment(pSegment),
    m_start(payload_start),
    m_size(payload_size),
    m_element_start(element_start),
    m_element_size(element_size),
    m_editions(NULL),
    m_editions_size(0),
    m_editions_count(0)
{
}
","    Segment* pSegment,
    long long payload_start,
    long long payload_size,
    long long element_start,
    long long element_size) :
    m_pSegment(pSegment),
    m_start(payload_start),
    m_size(payload_size),
    m_element_start(element_start),
    m_element_size(element_size),
    m_editions(NULL),
    m_editions_size(0),
    m_editions_count(0)
{
}
"
"void Chapters::Edition::Clear()
{
    while (m_atoms_count > 0)
    {
        Atom& a = m_atoms[--m_atoms_count];
        a.Clear();
     }
 
    delete[] m_atoms;
    m_atoms = NULL;
 
    m_atoms_size = 0;
 }
","{
    while (m_atoms_count > 0)
    {
        Atom& a = m_atoms[--m_atoms_count];
        a.Clear();
    delete[] m_atoms;
    m_atoms = NULL;
    m_atoms_size = 0;
"
"void Chapters::Atom::Clear()
{
    delete[] m_string_uid;
    m_string_uid = NULL;
    while (m_displays_count > 0)
    {
        Display& d = m_displays[--m_displays_count];
        d.Clear();
    }
    delete[] m_displays;
    m_displays = NULL;
    m_displays_size = 0;
}
","{
    delete[] m_string_uid;
    m_string_uid = NULL;
    while (m_displays_count > 0)
    {
        Display& d = m_displays[--m_displays_count];
        d.Clear();
    }
    delete[] m_displays;
    m_displays = NULL;
    m_displays_size = 0;
}
"
"void Chapters::Display::Clear()
{
    delete[] m_string;
    m_string = NULL;
    delete[] m_language;
    m_language = NULL;
    delete[] m_country;
    m_country = NULL;
}
","{
    delete[] m_string;
    m_string = NULL;
    delete[] m_language;
    m_language = NULL;
    delete[] m_country;
    m_country = NULL;
}
"
"void Track::Info::Clear()
{
    delete[] nameAsUTF8;
    nameAsUTF8 = NULL;
 
    delete[] language;
    language = NULL;
 
    delete[] codecId;
    codecId = NULL;
    delete[] codecPrivate;
    codecPrivate = NULL;
    codecPrivateSize = 0;
    delete[] codecNameAsUTF8;
    codecNameAsUTF8 = NULL;
}
","{
    delete[] nameAsUTF8;
    nameAsUTF8 = NULL;
    delete[] language;
    language = NULL;
    delete[] codecId;
    codecId = NULL;
    delete[] codecPrivate;
    codecPrivate = NULL;
    codecPrivateSize = 0;
    delete[] codecNameAsUTF8;
    codecNameAsUTF8 = NULL;
}
"
"Cluster::Cluster() :
    m_pSegment(NULL),
    m_element_start(0),
    m_index(0),
    m_pos(0),
    m_element_size(0),
    m_timecode(0),
    m_entries(NULL),
    m_entries_size(0),
    m_entries_count(0)  //means ""no entries""
{
}
","    m_pSegment(NULL),
    m_element_start(0),
    m_index(0),
    m_pos(0),
    m_element_size(0),
    m_timecode(0),
    m_entries(NULL),
    m_entries_size(0),
    m_entries_count(0)  //means ""no entries""
{
}
"
"Cluster::Cluster(
    Segment* pSegment,
    long idx,
    long long element_start
    /* long long element_size */ ) :
    m_pSegment(pSegment),
    m_element_start(element_start),
    m_index(idx),
    m_pos(element_start),
    m_element_size(-1 /* element_size */ ),
    m_timecode(-1),
    m_entries(NULL),
    m_entries_size(0),
    m_entries_count(-1)  //means ""has not been parsed yet""
{
}
","    Segment* pSegment,
    long idx,
    long long element_start
    /* long long element_size */ ) :
    m_pSegment(pSegment),
    m_element_start(element_start),
    m_index(idx),
    m_pos(element_start),
    m_element_size(-1 /* element_size */ ),
    m_timecode(-1),
    m_entries(NULL),
    m_entries_size(0),
    m_entries_count(-1)  //means ""has not been parsed yet""
{
}
"
" ContentEncoding::ContentCompression::ContentCompression()
    : algo(0),
      settings(NULL),
      settings_len(0) {
}
","    : algo(0),
      settings(NULL),
      settings_len(0) {
}
"
" ContentEncoding::ContentEncoding()
 : compression_entries_(NULL),
      compression_entries_end_(NULL),
      encryption_entries_(NULL),

       encryption_entries_end_(NULL),
       encoding_order_(0),
       encoding_scope_(1),
      encoding_type_(0) {
}
","      encoding_type_(0) {
}
"
" ContentEncoding::ContentEncryption::ContentEncryption()
 : algo(0),
      key_id(NULL),
      key_id_len(0),
      signature(NULL),
      signature_len(0),

       sig_key_id(NULL),
       sig_key_id_len(0),
       sig_algo(0),
      sig_hash_algo(0) {
}
","      sig_hash_algo(0) {
}
"
"int Track::Info::Copy(Info& dst) const
{
    if (&dst == this)
        return 0;
 
    dst.type = type;
    dst.number = number;
    dst.defaultDuration = defaultDuration;
    dst.codecDelay = codecDelay;
    dst.seekPreRoll = seekPreRoll;
    dst.uid = uid;
    dst.lacing = lacing;
    dst.settings = settings;
 
 
    if (int status = CopyStr(&Info::nameAsUTF8, dst))
        return status;
 
    if (int status = CopyStr(&Info::language, dst))
        return status;
 
    if (int status = CopyStr(&Info::codecId, dst))
        return status;
 
    if (int status = CopyStr(&Info::codecNameAsUTF8, dst))
        return status;
 
    if (codecPrivateSize > 0)
    {
        if (codecPrivate == NULL)
            return -1;
 
        if (dst.codecPrivate)
            return -1;
 
        if (dst.codecPrivateSize != 0)
            return -1;
 
        dst.codecPrivate = new (std::nothrow) unsigned char[codecPrivateSize];
 
        if (dst.codecPrivate == NULL)
            return -1;
 
        memcpy(dst.codecPrivate, codecPrivate, codecPrivateSize);
        dst.codecPrivateSize = codecPrivateSize;
     }
 
    return 0;
}
","{
    if (&dst == this)
        return 0;
    dst.type = type;
    dst.number = number;
    dst.defaultDuration = defaultDuration;
    dst.codecDelay = codecDelay;
    dst.seekPreRoll = seekPreRoll;
    dst.uid = uid;
    dst.lacing = lacing;
    dst.settings = settings;
    if (int status = CopyStr(&Info::nameAsUTF8, dst))
        return status;
    if (int status = CopyStr(&Info::language, dst))
        return status;
    if (int status = CopyStr(&Info::codecId, dst))
        return status;
    if (int status = CopyStr(&Info::codecNameAsUTF8, dst))
        return status;
    if (codecPrivateSize > 0)
    {
        if (codecPrivate == NULL)
            return -1;
        if (dst.codecPrivate)
            return -1;
        if (dst.codecPrivateSize != 0)
            return -1;
        dst.codecPrivate = new (std::nothrow) unsigned char[codecPrivateSize];
        if (dst.codecPrivate == NULL)
            return -1;
        memcpy(dst.codecPrivate, codecPrivate, codecPrivateSize);
        dst.codecPrivateSize = codecPrivateSize;
    return 0;
}
"
"int Track::Info::CopyStr(char* Info::*str, Info& dst_) const
{
    if (str == static_cast<char* Info::*>(NULL))
        return -1;
    char*& dst = dst_.*str;
    if (dst)  //should be NULL already
        return -1;
    const char* const src = this->*str;
    if (src == NULL)
        return 0;
    const size_t len = strlen(src);
    dst = new (std::nothrow) char[len+1];
    if (dst == NULL)
        return -1;
    strcpy(dst, src);
     return 0;
 }
","{
    if (str == static_cast<char* Info::*>(NULL))
        return -1;
    char*& dst = dst_.*str;
    if (dst)  //should be NULL already
        return -1;
    const char* const src = this->*str;
    if (src == NULL)
        return 0;
    const size_t len = strlen(src);
    dst = new (std::nothrow) char[len+1];
    if (dst == NULL)
        return -1;
    strcpy(dst, src);
"
"long Track::Create(
    Segment* pSegment,
    const Info& info,
    long long element_start,
    long long element_size,
    Track*& pResult)
{
    if (pResult)
        return -1;
 
    Track* const pTrack = new (std::nothrow) Track(pSegment,
                                                   element_start,
                                                   element_size);
 
    if (pTrack == NULL)
        return -1;  //generic error
 
    const int status = info.Copy(pTrack->m_info);
 
    if (status)  // error
    {
        delete pTrack;
        return status;
    }
 
    pResult = pTrack;
    return 0;  //success
 }
","    Segment* pSegment,
    const Info& info,
    long long element_start,
    long long element_size,
    Track*& pResult)
{
    if (pResult)
        return -1;
    Track* const pTrack = new (std::nothrow) Track(pSegment,
                                                   element_start,
                                                   element_size);
    if (pTrack == NULL)
        return -1;  //generic error
    const int status = info.Copy(pTrack->m_info);
    if (status)  // error
    {
        delete pTrack;
        return status;
    }
    pResult = pTrack;
    return 0;  //success
"
"Cluster* Cluster::Create(
    Segment* pSegment,
    long idx,
    long long off)
{
    assert(pSegment);
    assert(off >= 0);
    const long long element_start = pSegment->m_start + off;
    Cluster* const pCluster = new Cluster(pSegment,
                                          idx,
                                          element_start);
    assert(pCluster);
    return pCluster;
}
","    Segment* pSegment,
    long idx,
    long long off)
{
    assert(pSegment);
    assert(off >= 0);
    const long long element_start = pSegment->m_start + off;
    Cluster* const pCluster = new Cluster(pSegment,
                                          idx,
                                          element_start);
    assert(pCluster);
    return pCluster;
}
"
"long Cluster::CreateBlock(
    long long id,
    long long pos,   //absolute pos of payload
    long long size,
    long long discard_padding)
{
    assert((id == 0x20) || (id == 0x23));  //BlockGroup or SimpleBlock
    if (m_entries_count < 0)  //haven't parsed anything yet
    {
        assert(m_entries == NULL);
        assert(m_entries_size == 0);
        m_entries_size = 1024;
        m_entries = new BlockEntry*[m_entries_size];
        m_entries_count = 0;
    }
    else
    {
        assert(m_entries);
        assert(m_entries_size > 0);
        assert(m_entries_count <= m_entries_size);
        if (m_entries_count >= m_entries_size)
        {
            const long entries_size = 2 * m_entries_size;
            BlockEntry** const entries = new BlockEntry*[entries_size];
            assert(entries);
            BlockEntry** src = m_entries;
            BlockEntry** const src_end = src + m_entries_count;
            BlockEntry** dst = entries;
            while (src != src_end)
                *dst++ = *src++;
            delete[] m_entries;
            m_entries = entries;
            m_entries_size = entries_size;
        }
     }
 
    if (id == 0x20)  //BlockGroup ID
        return CreateBlockGroup(pos, size, discard_padding);
    else  //SimpleBlock ID
        return CreateSimpleBlock(pos, size);
 }
","    long long id,
    long long pos,   //absolute pos of payload
    long long size,
    long long discard_padding)
{
    assert((id == 0x20) || (id == 0x23));  //BlockGroup or SimpleBlock
    if (m_entries_count < 0)  //haven't parsed anything yet
    {
        assert(m_entries == NULL);
        assert(m_entries_size == 0);
        m_entries_size = 1024;
        m_entries = new BlockEntry*[m_entries_size];
        m_entries_count = 0;
    }
    else
    {
        assert(m_entries);
        assert(m_entries_size > 0);
        assert(m_entries_count <= m_entries_size);
        if (m_entries_count >= m_entries_size)
        {
            const long entries_size = 2 * m_entries_size;
            BlockEntry** const entries = new BlockEntry*[entries_size];
            assert(entries);
            BlockEntry** src = m_entries;
            BlockEntry** const src_end = src + m_entries_count;
            BlockEntry** dst = entries;
            while (src != src_end)
                *dst++ = *src++;
            delete[] m_entries;
            m_entries = entries;
            m_entries_size = entries_size;
        }
    if (id == 0x20)  //BlockGroup ID
        return CreateBlockGroup(pos, size, discard_padding);
    else  //SimpleBlock ID
        return CreateSimpleBlock(pos, size);
"
"long Cluster::CreateSimpleBlock(
    long long st,
    long long sz)
{
    assert(m_entries);
    assert(m_entries_size > 0);
    assert(m_entries_count >= 0);
    assert(m_entries_count < m_entries_size);
    const long idx = m_entries_count;
    BlockEntry** const ppEntry = m_entries + idx;
    BlockEntry*& pEntry = *ppEntry;
    pEntry = new (std::nothrow) SimpleBlock(this, idx, st, sz);
    if (pEntry == NULL)
        return -1;  //generic error
    SimpleBlock* const p = static_cast<SimpleBlock*>(pEntry);
    const long status = p->Parse();
    if (status == 0)
    {
        ++m_entries_count;
        return 0;
    }
    delete pEntry;
    pEntry = 0;
    return status;
}
","    long long st,
    long long sz)
{
    assert(m_entries);
    assert(m_entries_size > 0);
    assert(m_entries_count >= 0);
    assert(m_entries_count < m_entries_size);
    const long idx = m_entries_count;
    BlockEntry** const ppEntry = m_entries + idx;
    BlockEntry*& pEntry = *ppEntry;
    pEntry = new (std::nothrow) SimpleBlock(this, idx, st, sz);
    if (pEntry == NULL)
        return -1;  //generic error
    SimpleBlock* const p = static_cast<SimpleBlock*>(pEntry);
    const long status = p->Parse();
    if (status == 0)
    {
        ++m_entries_count;
        return 0;
    }
    delete pEntry;
    pEntry = 0;
    return status;
}
"
"CuePoint::CuePoint(long idx, long long pos) :
    m_element_start(0),
    m_element_size(0),
    m_index(idx),
    m_timecode(-1 * pos),
    m_track_positions(NULL),
    m_track_positions_count(0)
{
    assert(pos > 0);
 }
","    m_element_start(0),
    m_element_size(0),
    m_index(idx),
    m_timecode(-1 * pos),
    m_track_positions(NULL),
    m_track_positions_count(0)
{
    assert(pos > 0);
"
"Cues::Cues(
    Segment* pSegment,
    long long start_,
    long long size_,
    long long element_start,
    long long element_size) :
    m_pSegment(pSegment),
    m_start(start_),
    m_size(size_),
    m_element_start(element_start),
    m_element_size(element_size),
    m_cue_points(NULL),
    m_count(0),
    m_preload_count(0),
    m_pos(start_)
{
 }
","    Segment* pSegment,
    long long start_,
    long long size_,
    long long element_start,
    long long element_size) :
    m_pSegment(pSegment),
    m_start(start_),
    m_size(size_),
    m_element_start(element_start),
    m_element_size(element_size),
    m_cue_points(NULL),
    m_count(0),
    m_preload_count(0),
    m_pos(start_)
{
"
"Chapters::Display::Display()
{
}
","{
}
"
"bool Cues::DoneParsing() const
{
    const long long stop = m_start + m_size;
    return (m_pos >= stop);
}
","{
    const long long stop = m_start + m_size;
    return (m_pos >= stop);
}
"
"bool Segment::DoneParsing() const
{
    if (m_size < 0)
    {
        long long total, avail;
 
        const int status = m_pReader->Length(&total, &avail);
 
        if (status < 0)  //error
            return true;  //must assume done
 
        if (total < 0)
            return false;  //assume live stream
 
        return (m_pos >= total);
    }
 
    const long long stop = m_start + m_size;
 
    return (m_pos >= stop);
 }
","{
    if (m_size < 0)
    {
        long long total, avail;
        const int status = m_pReader->Length(&total, &avail);
        if (status < 0)  //error
            return true;  //must assume done
        if (total < 0)
            return false;  //assume live stream
        return (m_pos >= total);
    }
    const long long stop = m_start + m_size;
    return (m_pos >= stop);
"
"EBMLHeader::EBMLHeader() :
    m_docType(NULL)
{
    Init();
}
","    m_docType(NULL)
{
    Init();
}
"
"bool Cluster::EOS() const
//// long long element_size)
 {
    return (m_pSegment == NULL);
 }
","    return (m_pSegment == NULL);
"
"bool BlockEntry::EOS() const
{
    return (GetKind() == kBlockEOS);
}
","{
    return (GetKind() == kBlockEOS);
}
"
"Track::EOSBlock::EOSBlock() :
    BlockEntry(NULL, LONG_MIN)
{
}
","    BlockEntry(NULL, LONG_MIN)
{
}
"
"Chapters::Edition::Edition()
{
 }
","{
"
"bool Chapters::Edition::ExpandAtomsArray()
{
    if (m_atoms_size > m_atoms_count)
        return true;  // nothing else to do
 
    const int size = (m_atoms_size == 0) ? 1 : 2 * m_atoms_size;
 
    Atom* const atoms = new (std::nothrow) Atom[size];
 
    if (atoms == NULL)
        return false;
 
    for (int idx = 0; idx < m_atoms_count; ++idx)
    {
        m_atoms[idx].ShallowCopy(atoms[idx]);
     }
 
    delete[] m_atoms;
    m_atoms = atoms;
 
    m_atoms_size = size;
    return true;
 }
","{
    if (m_atoms_size > m_atoms_count)
        return true;  // nothing else to do
    const int size = (m_atoms_size == 0) ? 1 : 2 * m_atoms_size;
    Atom* const atoms = new (std::nothrow) Atom[size];
    if (atoms == NULL)
        return false;
    for (int idx = 0; idx < m_atoms_count; ++idx)
    {
        m_atoms[idx].ShallowCopy(atoms[idx]);
    delete[] m_atoms;
    m_atoms = atoms;
    m_atoms_size = size;
    return true;
"
